店名,住所,営業時間,ラーメンの種類,あパー,詳細
,,営業時間: 不明,その他,詳細: 不明, 不明
,,営業時間: 不明,その他,詳細: 不明, 不明
油そば専門店 歌志軒 中村公園駅前店 - ,愛知県名古屋市中村区乾出町２-2-6 - ,営業時間: 月～日、祝日、祝前日: 11:30～14:30 （料理L.O. 14:15）17:30～23:00 （料理L.O. 22:45）,その他,詳細: https://www.hotpepper.jp/strJ001140253/, https://www.hotpepper.jp/strJ001140253/
本丸 - ,愛知県名古屋市西区香呑町６-10 - ,営業時間: 月～日、祝日、祝前日: 09:30～14:30新型コロナ対策により、一部営業時間が変更になる場合がございます。,その他,詳細: https://www.hotpepper.jp/strJ001274958/, https://www.hotpepper.jp/strJ001274958/
からみそラーメンふくろう　名駅店 - ,愛知県名古屋市中村区亀島２-1 - ,営業時間: 月～日、祝日、祝前日: 11:00～15:0018:00～22:00 （料理L.O. 21:00 ドリンクL.O. 21:00）,味噌ラーメン,詳細: https://www.hotpepper.jp/strJ001283454/, https://www.hotpepper.jp/strJ001283454/
担担麺専門店　想吃担担面　ユニモール店 - ,愛知県名古屋市中村区名駅４-5-26先　ユニモール地下街 - ,営業時間: 月～日、祝日、祝前日: 11:00～22:00 （料理L.O. 21:30 ドリンクL.O. 21:30）,その他,詳細: https://www.hotpepper.jp/strJ000743065/, https://www.hotpepper.jp/strJ000743065/
つけめんTETSU　JRゲートタワー名古屋店 - ,愛知県名古屋市中村区名駅１-1015-15 - ,営業時間: 月～日、祝日、祝前日: 11:00～23:00 時短営業中　11：00～21：00（LO　20：30）マスク飲食のご協力をお願い申し上げます。,その他,詳細: https://www.hotpepper.jp/strJ001277618/, https://www.hotpepper.jp/strJ001277618/
担担麺専門店　想吃担担面　エスカ店 - ,愛知県名古屋市中村区椿町６－９先　（名駅西口エスカ地下街内） - ,営業時間: 月～日、祝日、祝前日: 11:00～22:30 （料理L.O. 22:00 ドリンクL.O. 22:00）,その他,詳細: https://www.hotpepper.jp/strJ000022963/, https://www.hotpepper.jp/strJ000022963/
拉ノ刻　（らのこく） - ,愛知県名古屋市中村区上ノ宮町２-30-1 リエス上ノ宮1F - ,営業時間: 月～土、祝日、祝前日: 11:30～14:00 （料理L.O. 13:45 ドリンクL.O. 13:45）18:00～22:00 （料理L.O. 21:45 ドリンクL.O. 21:45）11:30～14:30（LO.13:45）18:00～22:00（LO.21:45）※麺とスープがなくなり次第終了,味噌ラーメン,詳細: https://www.hotpepper.jp/strJ000429964/, https://www.hotpepper.jp/strJ000429964/
フジヤマ５５名古屋駅西口店 - ,愛知県名古屋市中村区椿町8-7　セントラルビル１F - ,営業時間: 月～日、祝日、祝前日: 11:00～23:45 （料理L.O. 23:45）,その他,詳細: https://www.hotpepper.jp/strJ001276776/, https://www.hotpepper.jp/strJ001276776/
熟成豚骨ラーメン専門店 大名古屋一番軒 - ,愛知県名古屋市中村区名駅３-28-12 大名古屋ビルヂングB1 - ,営業時間: 月～日、祝日、祝前日: 11:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）厳重警戒措置の実施に伴い上記の通り営業時間を変更致します。,豚骨ラーメン,詳細: https://www.hotpepper.jp/strJ001279899/, https://www.hotpepper.jp/strJ001279899/
長浜豚骨ラーメン 一番軒 浄心店 - ,愛知県名古屋市西区上名古屋２-5-6 - ,営業時間: 月～日、祝日、祝前日: 11:00～21:00厳重警戒措置の実施に伴い上記の通り営業時間を変更致します。,豚骨ラーメン,詳細: https://www.hotpepper.jp/strJ001213296/, https://www.hotpepper.jp/strJ001213296/
ラーメン・餃子 響 - ,愛知県名古屋市中村区名駅南１-17-2 - ,営業時間: 月～土、祝日、祝前日: 11:00～15:00 （料理L.O. 15:00 ドリンクL.O. 15:00）17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）コロナの関係で営業時間が異なることがありますお問い合わせください,味噌ラーメン,詳細: https://www.hotpepper.jp/strJ000763328/, https://www.hotpepper.jp/strJ000763328/
担担麺専門店　想吃担担面　名駅南店 - ,愛知県名古屋市中村区名駅南１－２４－８原ビル１Ｆ - ,営業時間: 月～日、祝日、祝前日: 11:30～15:30 （料理L.O. 15:00 ドリンクL.O. 15:00）17:30～22:30 （料理L.O. 22:00 ドリンクL.O. 22:00）,その他,詳細: https://www.hotpepper.jp/strJ000028918/, https://www.hotpepper.jp/strJ000028918/
豚骨麺屋 一番軒 則武新町店 - ,愛知県名古屋市西区則武新町３-1-17 - ,営業時間: 月～金、日、祝日: 11:00～21:30 （料理L.O. 21:00 ドリンクL.O. 21:00）土、祝前日: 11:00～22:00 （料理L.O. 21:30 ドリンクL.O. 21:30）,豚骨ラーメン,詳細: https://www.hotpepper.jp/strJ001279923/, https://www.hotpepper.jp/strJ001279923/
横浜家系ラーメン平田屋 - ,愛知県名古屋市西区上小田井１丁目48 - ,営業時間: 月～日、祝日、祝前日: 11:00～14:0017:00～20:00,醤油ラーメン,詳細: https://www.hotpepper.jp/strJ001269636/, https://www.hotpepper.jp/strJ001269636/
担担麺専門店　想吃担担面　名駅地下店 - ,愛知県名古屋市中村区名駅１丁目2-4 - ,営業時間: 月～日、祝日、祝前日: 11:00～22:00 （料理L.O. 21:15 ドリンクL.O. 21:15）,その他,詳細: https://www.hotpepper.jp/strJ001271930/, https://www.hotpepper.jp/strJ001271930/
