タイトル,タイトルリンク,gallery_area,thumb,thumb1,address,fa_address_access_inner,口コミ,btn_map,js_cm_readmore,写真,動画,fa_address_access_inner1,budget,all_count_num,link_arw01,all_count_num1,all_count_num2,詳細タイトル,フィールド1,フィールド2,住所,,,緯度,経度
一風堂　名古屋本店,https://www.cookdoor.jp/dtl/75000000000000006664/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/4/6/6/75000000000000006664/0000000072/75000000000000006664_0000000072_2_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/4/6/6/75000000000000006664/0000052633/75000000000000006664_0000052633_3_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/4/6/6/75000000000000006664/0000003829/75000000000000006664_0000003829_8_s.jpg,〒460-0008 愛知県名古屋市中区栄3-22-26,名古屋市営地下鉄鶴舞線「大須観音駅」から「一風堂　名古屋本店」まで 徒歩7分,236件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e5%a4%a7%e9%a0%88%e8%a6%b3%e9%9f%b3%e9%a7%85+%e3%80%92460-0011&destination=35.1640124516139,136.902645827898&travelmode=walking","「一風堂 名古屋本店」に行った感想をお伝えします。まず、店内に足を踏み入れると、シンプルでモダンな雰囲気が広がっており、清潔感がありつつも落ち着いた空間が広がっていました。店員さんの明るい笑顔と元気な挨拶が迎えてくれ、入店からとても気持ち良いスタートを切ることができました。

注文したのは、名物の「博多白湯ラーメン」。まず、スープの豊かな香りに引き込まれます。白湯スープはクリーミーでありながら、コクがあり、あっさりとした後味が特徴的でした。麺は細麺で、スープとの絡み具合が絶妙で、スープがしっかりと染み込んでいます。チャーシューも柔らかく、しっとりとしていて、とてもジューシーでした。また、トッピングの紅生姜がアクセントとなり、食べ進めるうちに飽きが来ませんでした。

さらに、サイドメニューで頼んだ「餃子」も美味しかったです。皮がパリッと焼かれており、ジューシーな餡が口の中で広がり、一口で満足感を得られる一品でした。どちらも、他のラーメン店とは一線を画す完成度の高さを感じました。

スタッフの対応も素晴らしく、注文がスムーズに進んだこと、また料理が提供されるタイミングも絶妙でした。店内の空気感も快適で、カジュアルにラーメンを楽しめる雰囲気があり、居心地が良かったです。

総じて、一風堂 名古屋本店は、ラーメンの味はもちろん、スタッフのサービスや店内の雰囲気まで、どれを取っても高いレベルにあると感じました。特に博多ラーメンが好きな方には間違いなくおすすめできるお店です。次回も訪れたくなるような、満足感のある食事を楽しめました。…",452枚,40本,名古屋高速2号東山線「白川出入口（IC）」から「一風堂　名古屋本店」まで 710m,８５０円,"3,093件",一風堂 87店舗,"3,972枚",399本,一風堂　名古屋本店,11：00〜27：00,〒460-0008, 愛知県名古屋市中区栄3-22-26,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%8C%BA%E6%A0%843-22-26,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県名古屋市中区栄3-22-26</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県名古屋市中区栄3-22-26</converted>
<candidate>
<address>愛知県/名古屋市/中区/栄/三丁目/２２番/２６号</address>
<longitude>136.902481</longitude>
<latitude>35.164021</latitude>
<iLvl>8</iLvl>
</candidate>
</results>
",35.164021,136.902481
ラーメン横綱　豊山店,https://www.cookdoor.jp/dtl/60000000000000002202/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/2/0/2/60000000000000002202/0000000143/60000000000000002202_0000000143_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/2/0/2/60000000000000002202/0000066885/60000000000000002202_0000066885_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/2/0/2/60000000000000002202/0000000143/60000000000000002202_0000000143_2_s.jpg,〒480-0202 愛知県西春日井郡豊山町大字豊場字八反１２９－１,東海交通事業城北線「比良駅」から「ラーメン横綱　豊山店」まで 徒歩20分,201件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e6%af%94%e8%89%af%e9%a7%85+%e3%80%92452-0802&destination=35.2417920112024,136.90843732098&travelmode=walking",ラーメン横綱　豊山店は国道41号線沿いにあり、 駐車場も広いので安心です。店内は広く、カウンター席やテーブル、ゆったりできるソファ席もあります。ネギ入れ放題サービスなので毎回ネギたっぷり入れて食べてます。朝方まで営業されています。…,417枚,38本,名古屋高速11号小牧線「豊山南IC」から「ラーメン横綱　豊山店」まで 170m,７００円,,,,,ラーメン横綱　豊山店,11：00〜29：00,〒480-0202, 愛知県西春日井郡豊山町大字豊場字八反１２９－１,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E8%A5%BF%E6%98%A5%E6%97%A5%E4%BA%95%E9%83%A1%E8%B1%8A%E5%B1%B1%E7%94%BA%E5%A4%A7%E5%AD%97%E8%B1%8A%E5%A0%B4%E5%AD%97%E5%85%AB%E5%8F%8D%EF%BC%91%EF%BC%92%EF%BC%99%EF%BC%8D%EF%BC%91,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県西春日井郡豊山町大字豊場字八反１２９−１</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県西春日井郡豊山町大字豊場字八反１２９−</converted>
<candidate>
<address>愛知県/西春日井郡/豊山町/大字豊場/八反/１２９番地</address>
<longitude>136.907913</longitude>
<latitude>35.241863</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",35.241863,136.907913
ラーメン横綱　一宮店,https://www.cookdoor.jp/dtl/60000000000000002200/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/0/0/2/60000000000000002200/0000000344/60000000000000002200_0000000344_2_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/0/0/2/60000000000000002200/0000000344/60000000000000002200_0000000344_4_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/0/0/2/60000000000000002200/0000000344/60000000000000002200_0000000344_6_s.jpg,〒491-0824 愛知県一宮市丹陽町九日市場字下田３０－３,ＪＲ東海道本線「稲沢駅」から「ラーメン横綱　一宮店」まで 徒歩25分,253件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e7%a8%b2%e6%b2%a2%e9%a7%85+%e3%80%92492-8143&destination=35.2659315138855,136.836951035194&travelmode=walking",ラーメン横綱　一宮店さんに行ってきましたよ。初めての横綱ラーメンandチャーハンに感激。ラーメンはニンニク入りの唐辛子の調味料を途中で投入して味変させていただきました。チャーハンは鉄板で卵を自分でかく混ぜ作り上げるスタイル。どちらもとても美味しくてリピーターになりますよ。一宮店は国道22号名岐バイパス沿いにあり大きな看板がとても良く目立ちますよ。…,391枚,42本,名古屋高速16号一宮線「一宮南IC」から「ラーメン横綱　一宮店」まで 63m,"〜1,000円",,,,,ラーメン横綱　一宮店,11：00〜29：00（ＬＯ29：00）,〒491-0824, 愛知県一宮市丹陽町九日市場字下田３０－３,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E4%B8%80%E5%AE%AE%E5%B8%82%E4%B8%B9%E9%99%BD%E7%94%BA%E4%B9%9D%E6%97%A5%E5%B8%82%E5%A0%B4%E5%AD%97%E4%B8%8B%E7%94%B0%EF%BC%93%EF%BC%90%EF%BC%8D%EF%BC%93,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県一宮市丹陽町九日市場字下田３０−３</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県一宮市丹陽町九日市場字下田３０−</converted>
<candidate>
<address>愛知県/一宮市/丹陽町九日市場/下田/３０番地</address>
<longitude>136.837265</longitude>
<latitude>35.265663</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",35.265663,136.837265
一蘭　名古屋鳴海店,https://www.cookdoor.jp/dtl/60000000000000000198/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/8/9/1/60000000000000000198/0000030062/60000000000000000198_0000030062_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/8/9/1/60000000000000000198/0000063497/60000000000000000198_0000063497_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/8/9/1/60000000000000000198/0000063497/60000000000000000198_0000063497_3_s.jpg,〒458-0801 愛知県名古屋市緑区鳴海町字中汐田74-1,名鉄名古屋本線「鳴海駅」から「一蘭　名古屋鳴海店」まで 徒歩8分,267件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e9%b3%b4%e6%b5%b7%e9%a7%85+%e3%80%92458-0831&destination=35.077954042956,136.943854979337&travelmode=walking",名古屋市緑区鳴海町にある一蘭！有名なラーメンのチェーン店である一蘭。こちらの店舗は名古屋市緑区にあり、名古屋市では珍しく駐車場があります。数台用ではなく、しっかり３０台程度停められる広さがあります。車で行くにはとても便利です。店内も広く、50人程度は入る広さだと思います。24時間営業なので夜中にお腹がすいたら食べに行くのも最高です。店内に入り、まず食券を購入します。1杯1000円ぐらいです。量が少ないので、替え玉も一緒に購入するのがおすすめです。店員さんが空いてる席を教えてくださり、案内してくださります。店員さんの接客はとても気持ちよく明るく挨拶してくれます。一蘭は席が個々に分かれており、一人でも行きやすいと思います。自分で味の濃さなど指定ができるのがとてもうれしいです。秘伝のタレがピリ辛で癖になるラーメンです。食券を提出してからでてくるまでの時間も短く、お腹が空いててもすぐ食べれます。ラーメンと一緒に白米を注文するとおいしさ倍増です。…,376枚,37本,名古屋第二環状自動車道「有松IC」から「一蘭　名古屋鳴海店」まで 2.2km,"〜1,000円","5,193件",一蘭 58店舗,"5,587枚",548本,一蘭　名古屋鳴海店,24時間営業,〒458-0801, 愛知県名古屋市緑区鳴海町字中汐田74-1,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E7%B7%91%E5%8C%BA%E9%B3%B4%E6%B5%B7%E7%94%BA%E5%AD%97%E4%B8%AD%E6%B1%90%E7%94%B074-1,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県名古屋市緑区鳴海町字中汐田74-1</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県名古屋市緑区鳴海町字中汐田74-</converted>
<candidate>
<address>愛知県/名古屋市/緑区/鳴海町/中汐田/７４番地</address>
<longitude>136.943039</longitude>
<latitude>35.078411</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",35.078411,136.943039
丸源ラーメン　三河安城店,https://www.cookdoor.jp/dtl/60000000000000002502/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/2/0/5/60000000000000002502/0000049234/60000000000000002502_0000049234_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/2/0/5/60000000000000002502/0000001368/60000000000000002502_0000001368_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/2/0/5/60000000000000002502/0000066323/60000000000000002502_0000066323_1_s.jpg,〒446-0073 愛知県安城市篠目町童子201番地1,ＪＲ東海道新幹線「三河安城駅」から「丸源ラーメン　三河安…」まで 徒歩6分,181件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e4%b8%89%e6%b2%b3%e5%ae%89%e5%9f%8e%e9%a7%85+%e3%80%92446-0056&destination=34.9734861919029,137.063284315688&travelmode=walking","仕事の合間に利用！
チェーン店ではあるけど、安定した美味しさ。塩のねぎ塩は、サッパリとして、ゆずの匂いがして、とても美味しいです！
麺も細めで、喉越しも良いです。店内は、明るくて、匂いもなく快適でした。…",381枚,30本,衣浦豊田道路「新林IC」から「丸源ラーメン　三河安…」まで 2.4km,"昼800円
夜1200円","7,258件",丸源ラーメン 161店舗,"15,649枚","1,510本",丸源ラーメン　三河安城店,11時30分から25時まで,〒446-0073, 愛知県安城市篠目町童子201番地1,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%AE%89%E5%9F%8E%E5%B8%82%E7%AF%A0%E7%9B%AE%E7%94%BA%E7%AB%A5%E5%AD%90201%E7%95%AA%E5%9C%B01,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県安城市篠目町童子201番地1</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県安城市篠目町童子201番地</converted>
<candidate>
<address>愛知県/安城市/篠目町/童子/２０１番地</address>
<longitude>137.063416</longitude>
<latitude>34.973396</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",34.973396,137.063416
みそ膳　東刈谷店,https://www.cookdoor.jp/dtl/60000000000000017827/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/7/2/8/60000000000000017827/0000000094/60000000000000017827_0000000094_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/7/2/8/60000000000000017827/0000035322/60000000000000017827_0000035322_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/7/2/8/60000000000000017827/0000035322/60000000000000017827_0000035322_4_s.jpg,〒448-0807 愛知県刈谷市東刈谷町2-1-3,ＪＲ東海道本線「東刈谷駅」から「みそ膳　東刈谷店」まで 徒歩7分,191件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e6%9d%b1%e5%88%88%e8%b0%b7%e9%a7%85+%e3%80%92448-0807&destination=34.9773711569503,137.037364622738&travelmode=walking",何度か食べに行っていますが、安定して美味しいです。店内はそこまで広くないですが、お座敷もあり、子供用の椅子もあります。ファミリーが結構多いような気がします。でも回転も悪くないので、長く待ったことはありません。私は生姜が入っているラーメンが好きで必ず注文しています。子供たちもお子様セットに満足していて、常に完食しています。おもちゃもついているので食べた後遊んでいます。体の大きなお子様は少し物足りないかもしれないですが、大体ギョーザやチャーハンも頼むのでみんなでつっついて丁度良いくらいになります。ギョーザもチャーハンもおいしいです。味噌ラーメン好きにはお勧めのお店です。刈谷は全国チェーン店が多いですが、全国チェーン店のラーメンはどこにでもあり何度か行くと飽きるので、こちらのお店に行きたくなりますね。駐車場もそれなりに広いですが、大きな車だと転回スペースが狭いので少し出入りが大変です。48号線沿いなので、出入口を見逃してスルーしてしまうかもしれないです、、、…,374枚,30本,伊勢湾岸自動車道「豊田南IC」から「みそ膳　東刈谷店」まで 5.8km,"昼：〜1000円
夜：〜1000円",,,,,みそ膳　東刈谷店,"■平日
11:00〜15:00
17:00〜23:00
■土・日曜日
11:00〜23:00",〒448-0807, 愛知県刈谷市東刈谷町2-1-3,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%88%88%E8%B0%B7%E5%B8%82%E6%9D%B1%E5%88%88%E8%B0%B7%E7%94%BA2-1-3,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県刈谷市東刈谷町2-1-3</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県刈谷市東刈谷町2-1-</converted>
<candidate>
<address>愛知県/刈谷市/東刈谷町/二丁目/１番</address>
<longitude>137.037140</longitude>
<latitude>34.977192</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",34.977192,137.03714
丸源ラーメン　小牧店,https://www.cookdoor.jp/dtl/60000000000000009306/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/6/0/3/60000000000000009306/0000042968/60000000000000009306_0000042968_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/6/0/3/60000000000000009306/0000052775/60000000000000009306_0000052775_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/6/0/3/60000000000000009306/0000070125/60000000000000009306_0000070125_3_s.jpg,〒485-0046 愛知県小牧市堀の内5丁目150-1,名鉄小牧線「小牧駅」から「丸源ラーメン　小牧店」まで 徒歩25分,175件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e5%b0%8f%e7%89%a7%e9%a7%85+%e3%80%92485-0029&destination=35.2869885295116,136.906357357011&travelmode=walking",愛知県小牧市堀の内にある丸源ラーメン小牧店です。商業施設の中にあり、駐車場もたくさんあります。肉そばがとても美味しくて、何回でも食べたくなる味です。また行きたいです。…,369枚,20本,名古屋高速11号小牧線「堀の内IC」から「丸源ラーメン　小牧店」まで 130m,"昼〜￥999
夜〜￥999","7,258件",丸源ラーメン 161店舗,"15,649枚","1,510本",丸源ラーメン　小牧店,11:30〜翌1:00,〒485-0046, 愛知県小牧市堀の内5丁目150-1,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%B0%8F%E7%89%A7%E5%B8%82%E5%A0%80%E3%81%AE%E5%86%855%E4%B8%81%E7%9B%AE150-1,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県小牧市堀の内5丁目150-1</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県小牧市堀の内5丁目150-</converted>
<candidate>
<address>愛知県/小牧市/堀の内/五丁目/１５０番地</address>
<longitude>136.906906</longitude>
<latitude>35.287434</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",35.287434,136.906906
一蘭　岐阜店,https://www.cookdoor.jp/dtl/1060377818/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/8/1/8/1060377818/0000000509/1060377818_0000000509_3_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/8/1/8/1060377818/0000019198/1060377818_0000019198_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/8/1/8/1060377818/0000025523/1060377818_0000025523_5_s.jpg,〒500-8384 岐阜県岐阜市薮田南５丁目１６－１２,ＪＲ東海道本線「西岐阜駅」から「一蘭　岐阜店」まで 徒歩19分,233件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e8%a5%bf%e5%b2%90%e9%98%9c%e9%a7%85+%e3%80%92500-8381&destination=35.3929516300654,136.714951707153&travelmode=walking",JR東海道線西岐阜駅から南へ車で5、6分の場所にある福岡発祥の大人気の豚骨ラーメン屋さん。入り口を入ると券売機があります。ベースの豚骨ラーメンにチャーシューと半熟玉子をトッピング！席にある用紙で麺の硬さ、スープの濃さ、辛さ、ネギやにんにくの量等好みに合わせた注文が可能！到着したラーメンは濃厚なとんこつスープに細めのストレート麺がよく絡みとても美味しい！！とんこつの臭みも感じず今日も大満足でした！…,355枚,19本,東海北陸自動車道「岐阜各務原IC」から「一蘭　岐阜店」まで 8.9km,夜:￥999,"5,193件",一蘭 58店舗,"5,587枚",548本,一蘭　岐阜店,24時間,〒500-8384, 岐阜県岐阜市薮田南５丁目１６－１２,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E5%B2%90%E9%98%9C%E7%9C%8C%E5%B2%90%E9%98%9C%E5%B8%82%E8%96%AE%E7%94%B0%E5%8D%97%EF%BC%95%E4%B8%81%E7%9B%AE%EF%BC%91%EF%BC%96%EF%BC%8D%EF%BC%91%EF%BC%92,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 岐阜県岐阜市薮田南５丁目１６−１２</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 岐阜県岐阜市薮田南５丁目１６−１２</converted>
<candidate>
<address>岐阜県/岐阜市/薮田南/五丁目/１６番/１２号</address>
<longitude>136.714615</longitude>
<latitude>35.392635</latitude>
<iLvl>8</iLvl>
</candidate>
</results>
",35.392635,136.714615
豚旨うま屋ラーメン　各務原店,https://www.cookdoor.jp/dtl/60000000000000018984/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/4/8/9/60000000000000018984/0000000598/60000000000000018984_0000000598_2_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/4/8/9/60000000000000018984/0000000147/60000000000000018984_0000000147_4_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/4/8/9/60000000000000018984/0000000046/60000000000000018984_0000000046_3_s.jpg,〒504-0941 岐阜県各務原市三井町４－１９５,名鉄各務原線「市民公園前駅」から「豚旨うま屋ラーメン　…」まで 徒歩11分,152件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e5%b8%82%e6%b0%91%e5%85%ac%e5%9c%92%e5%89%8d%e9%a7%85+%e3%80%92504-0911&destination=35.3927830160149,136.840972637883&travelmode=walking","好きなラジオ番組の方がよく豚旨うま屋の話をされるので
興味があって行ってみました。
イオンモール各務原店から程近く、看板も目立つのでよく分かります。
いつも混んでます。
ラーメンはボリュームもありネギも沢山取れて美味しい、旨い、コスパよし。
リピーターが多いのも頷けます。…",342枚,38本,東海北陸自動車道「岐阜各務原IC」から「豚旨うま屋ラーメン　…」まで 2.5km,"〜￥1,999",,,,,豚旨うま屋ラーメン　各務原店,11:30〜26:00,〒504-0941, 岐阜県各務原市三井町４－１９５,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E5%B2%90%E9%98%9C%E7%9C%8C%E5%90%84%E5%8B%99%E5%8E%9F%E5%B8%82%E4%B8%89%E4%BA%95%E7%94%BA%EF%BC%94%EF%BC%8D%EF%BC%91%EF%BC%99%EF%BC%95,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 岐阜県各務原市三井町４−１９５</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 岐阜県各務原市三井町４−１９５</converted>
<candidate>
<address>岐阜県/各務原市/三井町/四丁目/１９５番地</address>
<longitude>136.841049</longitude>
<latitude>35.392361</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",35.392361,136.841049
ラーメン横綱　刈谷店,https://www.cookdoor.jp/dtl/60000000000000002204/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/4/0/2/60000000000000002204/0000078057/60000000000000002204_0000078057_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/4/0/2/60000000000000002204/0000064835/60000000000000002204_0000064835_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/4/0/2/60000000000000002204/0000064835/60000000000000002204_0000064835_4_s.jpg,〒448-0005 愛知県刈谷市今川町花池１９４,名鉄名古屋本線「富士松駅」から「ラーメン横綱　刈谷店」まで 徒歩5分,192件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e5%af%8c%e5%a3%ab%e6%9d%be%e9%a7%85+%e3%80%92448-0005&destination=35.0293816919011,137.020713055164&travelmode=walking","大通りに面していて看板もでかいのでわかりやすくてアクセスに便利です。
営業時間も長いので時間に気にせずゆっくり出来ます。
味も美味しいですし、価格もそこまで高くありませんのでおすすめです。
近くに住んでいたらぜひ行ってみるといいですよ…",331枚,33本,伊勢湾岸自動車道「豊明IC」から「ラーメン横綱　刈谷店」まで 2km,７００円,,,,,ラーメン横綱　刈谷店,11：00〜29：00,〒448-0005, 愛知県刈谷市今川町花池１９４,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%88%88%E8%B0%B7%E5%B8%82%E4%BB%8A%E5%B7%9D%E7%94%BA%E8%8A%B1%E6%B1%A0%EF%BC%91%EF%BC%99%EF%BC%94,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県刈谷市今川町花池１９４</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県刈谷市今川町花池１９４</converted>
<candidate>
<address>愛知県/刈谷市/今川町/花池/１９４番地</address>
<longitude>137.020645</longitude>
<latitude>35.029652</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",35.029652,137.020645
