タイトル,タイトルリンク,gallery_area,thumb,thumb1,address,fa_address_access_inner,口コミ,btn_map,js_cm_readmore,写真,動画,fa_address_access_inner1,budget,all_count_num,link_arw01,all_count_num1,all_count_num2,詳細タイトル,フィールド1,フィールド2,Unnamed: 21,緯度,経度,住所,ラーメンの種類
丸源ラーメン　日進店,https://www.cookdoor.jp/dtl/60000000000000009307/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/7/0/3/60000000000000009307/0000053305/60000000000000009307_0000053305_7_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/7/0/3/60000000000000009307/0000042195/60000000000000009307_0000042195_3_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/7/0/3/60000000000000009307/0000005664/60000000000000009307_0000005664_1_s.jpg,〒470-0122 愛知県日進市蟹甲町中屋敷407-1,名鉄豊田線「日進駅」から「丸源ラーメン　日進店」まで 徒歩18分,95件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e6%97%a5%e9%80%b2%e9%a7%85+%e3%80%92470-0113&destination=35.1306987716209,137.044566686598&travelmode=walking","日進市にあるラーメン屋さんです。
肉そばが有名で、他にもメニューが豊富にあり、
セットメニューやお子様メニューもあるのでいろいろな方が楽しめますよ。
テイクアウトもできるので非常に重宝します。…",192枚,17本,名古屋第二環状自動車道「植田IC」から「丸源ラーメン　日進店」まで 4.1km,"昼：〜1000円
夜：〜1000円","7,258件",丸源ラーメン 161店舗,"15,649枚","1,510本",丸源ラーメン　日進店,"11:30〜翌1:00
ラストオーダー：閉店30分前",http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E6%97%A5%E9%80%B2%E5%B8%82%E8%9F%B9%E7%94%B2%E7%94%BA%E4%B8%AD%E5%B1%8B%E6%95%B7407-1,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県日進市蟹甲町中屋敷407-1</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県日進市蟹甲町中屋敷407-</converted>
<candidate>
<address>愛知県/日進市/蟹甲町/中屋敷/４０７番地</address>
<longitude>137.044495</longitude>
<latitude>35.130753</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",35.130753,137.044495, 愛知県日進市蟹甲町中屋敷407-1,不明
人類みな麺類,https://www.cookdoor.jp/dtl/60000000000000005542/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/2/4/5/60000000000000005542/0000067216/60000000000000005542_0000067216_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/2/4/5/60000000000000005542/0000077654/60000000000000005542_0000077654_2_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/2/4/5/60000000000000005542/0000003625/60000000000000005542_0000003625_1_s.jpg,〒532-0011 大阪府大阪市淀川区西中島1-12-15,阪急京都本線「南方駅」から「人類みな麺類」まで 徒歩1分,93件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e5%8d%97%e6%96%b9%e9%a7%85+%e3%80%92532-0011&destination=34.7254642886895,135.499181466946&travelmode=walking",こちらの大阪市淀川区西中島にある、人類みな麺類さんは、美味しいラーメン屋さんです！阪急京都本線南方駅より徒歩すぐの所にあります！いつも行列が出来るほど賑わっています！是非一度ご賞味ください。…,203枚,6本,,"昼：－￥９９９
夜：－￥９９９",,,,,人類みな麺類,"１１：００－１５：００
１７：３０－２３：００",http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E6%B7%80%E5%B7%9D%E5%8C%BA%E8%A5%BF%E4%B8%AD%E5%B3%B61-12-15,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 大阪府大阪市淀川区西中島1-12-15</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 大阪府大阪市淀川区西中島1-12-15</converted>
<candidate>
<address>大阪府/大阪市/淀川区/西中島/一丁目/１２番/１５号</address>
<longitude>135.499268</longitude>
<latitude>34.725506</latitude>
<iLvl>8</iLvl>
</candidate>
</results>
",34.725506,135.499268, 大阪府大阪市淀川区西中島1-12-15,不明
丸源ラーメン　倉敷連島店,https://www.cookdoor.jp/dtl/75000000000000069705/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/5/0/7/75000000000000069705/0000076068/75000000000000069705_0000076068_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/5/0/7/75000000000000069705/0000033220/75000000000000069705_0000033220_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/5/0/7/75000000000000069705/0000034704/75000000000000069705_0000034704_5_s.jpg,〒712-8014 岡山県倉敷市連島中央１丁目１１－２,水島臨海鉄道「弥生駅」から「丸源ラーメン　倉敷連…」まで 徒歩17分,60件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e5%bc%a5%e7%94%9f%e9%a7%85+%e3%80%92712-8035&destination=34.5478788337014,133.733682656141&travelmode=walking",今回ご紹介したいお店は、私の地元広島県でもファンの多い人気のラーメン店さんになります。お店の名前は“丸源ラーメン　倉敷連島店”さんです。こちらの場所ですが、岡山県倉敷市連島、中央一丁目の国道428号線沿いになります。幹線道路沿いと言う事もあって、目にとまりやすく利用客の多い繁盛店ですよ。今回は家族皆で友人の家に遊びに行った際のランチでお邪魔しました。子ども達からのリクエストでしたが、一緒にいた80歳過ぎの祖母も丸源さんのラーメンが大好きなんです。お店の看板を見た瞬間、迷わず満場一致の即決でした。丸源ラーメンさんは全国的に店舗展開されているフランチャイズ店で、ご存知の方も多い有名店ですよね。以前は店員さんが注文を聞きに来てくれるスタイルでしたが、ここ最近利用した際にはタッチパネルでの注文に変化していました。時代の流れを感じます。大人達がアタフタするなか、何と子供達がスムーズに操作してくれ注文完了。最近の子供達は皆パソコンなどを使う事が多いので手慣れてますね。頼もしい限りです。さて、メニューですが祖母は毎回お気に入りで食べる“熟成醤油肉そば”をチョイス。脂ののった豚バラ肉が柔らかくスープのコクもありつつ、トッピングの大根おろしで口当たりもさっぱりと頂ける、老若男女問わず人気のメニューです。子供達はお子さま用のセットメニューに。セットにはラーメン、フライドポテト、おもちゃが付いています。ラーメンもしお、しょうゆ、とんこつから選べるスタイル。辛い物が大好きな私は期間限定の“台湾ラーメン”に決定。メニューに唐辛子が5個も表記されていて、食べる前から辛さに期待が増してしまいます。回転も早く直ぐに着丼、真っ赤なスープにもやし、ニラ、挽き肉がトッピングされています。粗みじんの甘辛ミンチがジューシーで、真っ赤なピリ辛スープとの相性が抜群です。ちぢれ麺にもスープがしっかり絡みます。何と言っても丸源ラーメンさんは麺にも特徴があり、初めて食べた時のモチモチ食感の麺に衝撃を受けました。連島店さんの利用は初めてでしたが、店員さんの声かけが皆さん元気で感動しました。とても気持ち良く食事ができたので、またぜひ利用したいと思います。…,191枚,21本,山陽自動車道「玉島IC」から「丸源ラーメン　倉敷連…」まで 5.7km,"〜1,000円","7,258件",丸源ラーメン 161店舗,"15,649枚","1,510本",丸源ラーメン　倉敷連島店,11:00〜翌1:00（ラストオーダー翌0:30）,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E5%B2%A1%E5%B1%B1%E7%9C%8C%E5%80%89%E6%95%B7%E5%B8%82%E9%80%A3%E5%B3%B6%E4%B8%AD%E5%A4%AE%EF%BC%91%E4%B8%81%E7%9B%AE%EF%BC%91%EF%BC%91%EF%BC%8D%EF%BC%92,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 岡山県倉敷市連島中央１丁目１１−２</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 岡山県倉敷市連島中央１丁目１１−２</converted>
<candidate>
<address>岡山県/倉敷市/連島中央/一丁目/１１番/２号</address>
<longitude>133.732849</longitude>
<latitude>34.547768</latitude>
<iLvl>8</iLvl>
</candidate>
</results>
",34.547768,133.732849, 岡山県倉敷市連島中央１丁目１１－２,豚骨ラーメン
博多とんこつラーメン＆ダイニングばり,https://www.cookdoor.jp/dtl/1060554868/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/8/6/8/1060554868/0000020248/1060554868_0000020248_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/8/6/8/1060554868/0000020248/1060554868_0000020248_8_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/8/6/8/1060554868/0000020248/1060554868_0000020248_3_s.jpg,〒700-0964 岡山県岡山市北区中仙道２丁目１０－８,ＪＲ山陽本線「北長瀬駅」から「博多とんこつラーメン…」まで 徒歩11分,137件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e5%8c%97%e9%95%b7%e7%80%ac%e9%a7%85+%e3%80%92700-0962&destination=34.6454738144376,133.884923935092&travelmode=walking","博多とんこつラーメンのばりさんです。
岡山市内中仙道にあるラーメン屋さんです。
近隣は会社も多く、飲食店もそれなりにありますが、とんこつラーメン店は少なく
お昼時はいつも駐車場がいっぱいです。
王道のとんこつラーメンですが、替玉一つ無料で付いてきます。
少し甘めのスープは子供さんでも食べれるぐらい後味はさっぱりしてます。
トッピングの辛味もやし、高菜は無料でご飯に乗せても良いですよね。…",174枚,30本,山陽自動車道「岡山IC」から「博多とんこつラーメン…」まで 6km,〜999円,,,,,博多とんこつラーメン＆ダイニングばり,11：00〜24：00,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E5%B2%A1%E5%B1%B1%E7%9C%8C%E5%B2%A1%E5%B1%B1%E5%B8%82%E5%8C%97%E5%8C%BA%E4%B8%AD%E4%BB%99%E9%81%93%EF%BC%92%E4%B8%81%E7%9B%AE%EF%BC%91%EF%BC%90%EF%BC%8D%EF%BC%98,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 岡山県岡山市北区中仙道２丁目１０−８</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 岡山県岡山市北区中仙道２丁目１０−８</converted>
<candidate>
<address>岡山県/岡山市/北区/中仙道/二丁目/１０番/８号</address>
<longitude>133.885025</longitude>
<latitude>34.645298</latitude>
<iLvl>8</iLvl>
</candidate>
</results>
",34.645298,133.885025, 岡山県岡山市北区中仙道２丁目１０－８,豚骨ラーメン
ラーメン横綱岸和田店,https://www.cookdoor.jp/dtl/1060482976/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/6/7/9/1060482976/0000074872/1060482976_0000074872_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/6/7/9/1060482976/0000003013/1060482976_0000003013_4_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/6/7/9/1060482976/0000005513/1060482976_0000005513_5_s.jpg,〒596-0821 大阪府岸和田市小松里町２４１９,ＪＲ阪和線「久米田駅」から「ラーメン横綱岸和田店」まで 徒歩8分,64件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e4%b9%85%e7%b1%b3%e7%94%b0%e9%a7%85+%e3%80%92596-0812&destination=34.4677748202575,135.398806390989&travelmode=walking","大阪府岸和田市小松里町２４１９にあるラーメンチェーン店「ラーメン横綱」です
国道26号線沿いであり、隣には回転寿司「大起水産」があるので和と中華を選べる便利な立地となってます！
チェーン店の安定した味でとても美味しいです！…",200枚,11本,阪神高速4号湾岸線「岸和田北IC」から「ラーメン横綱岸和田店」まで 3.1km,"〜1,000円",,,,,ラーメン横綱岸和田店,11：00〜29：00（ＬＯ29：00）,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%B2%B8%E5%92%8C%E7%94%B0%E5%B8%82%E5%B0%8F%E6%9D%BE%E9%87%8C%E7%94%BA%EF%BC%92%EF%BC%94%EF%BC%91%EF%BC%99,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 大阪府岸和田市小松里町２４１９</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 大阪府岸和田市小松里町２４１９</converted>
<candidate>
<address>大阪府/岸和田市/小松里町/２４１９番地</address>
<longitude>135.398575</longitude>
<latitude>34.467442</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",34.467442,135.398575, 大阪府岸和田市小松里町２４１９,不明
大阪ふくちぁんラーメン鶴見店,https://www.cookdoor.jp/dtl/75000000000000006816/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/6/1/8/75000000000000006816/0000000670/75000000000000006816_0000000670_2_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/6/1/8/75000000000000006816/0000001171/75000000000000006816_0000001171_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/6/1/8/75000000000000006816/0000075969/75000000000000006816_0000075969_3_s.jpg,〒574-0044 大阪府大東市諸福8-5-20,ＪＲ片町線「鴻池新田駅」から「大阪ふくちぁんラーメ…」まで 徒歩13分,53件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e9%b4%bb%e6%b1%a0%e6%96%b0%e7%94%b0%e9%a7%85+%e3%80%92578-0976&destination=34.7068684460522,135.591512988508&travelmode=walking",中環沿いにある大阪ふくちぁんラーメン鶴見店様。車でのアクセスもしやすく、駐車場もしっかりとあります。今回頼んだのはふくちぁんラーメンのライスセットです。ラーメンは脂もしっかり味がしており、とてもご飯が進みおいしかったです！また、行きたいと思えるお店の綺麗さもあり居心地のよい空間でした！…,187枚,25本,近畿自動車道「大東鶴見IC」から「大阪ふくちぁんラーメ…」まで 180m,"夜〜￥999
昼〜￥999",,,,,大阪ふくちぁんラーメン鶴見店,"【月〜土】11:00〜翌5:00
【日・祝】11:00〜翌4:00",http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E6%9D%B1%E5%B8%82%E8%AB%B8%E7%A6%8F8-5-20,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 大阪府大東市諸福8-5-20</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 大阪府大東市諸福8-5-</converted>
<candidate>
<address>大阪府/大東市/諸福/八丁目/５番</address>
<longitude>135.590668</longitude>
<latitude>34.707451</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",34.707451,135.590668, 大阪府大東市諸福8-5-20,不明
長浜豚骨ラーメン　一番軒　小牧店,https://www.cookdoor.jp/dtl/75000000000000052460/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/0/6/4/75000000000000052460/0000055495/75000000000000052460_0000055495_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/0/6/4/75000000000000052460/0000072344/75000000000000052460_0000072344_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/0/6/4/75000000000000052460/0000009044/75000000000000052460_0000009044_5_s.jpg,〒485-0046 愛知県小牧市堀の内２丁目１３番地,名鉄小牧線「小牧駅」から「長浜豚骨ラーメン　一…」まで 徒歩25分,63件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e5%b0%8f%e7%89%a7%e9%a7%85+%e3%80%92485-0029&destination=35.292301572919,136.906390720703&travelmode=walking","先日に小牧市にあります、長浜豚骨ラーメン一番軒小牧店さんにお邪魔してきました。

小牧店さんは世界の山ちゃんという名古屋発祥の手羽先店と合同営業という感じで、店の中でラーメンも食べられますし、世界の山ちゃんメニューも食べられます。

1つの店舗で2つ楽しめるのは僕的に良い点かなと思います。
今回はランチにご利用させてもらいました。
次回は、夜行ってみたいと思います。…",195枚,16本,名古屋高速11号小牧線「堀の内出入口（IC）」から「長浜豚骨ラーメン　一…」まで 450m,〜999円,,,,,長浜豚骨ラーメン　一番軒　小牧店,"11:00〜15:00

17:00〜22:30",http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%B0%8F%E7%89%A7%E5%B8%82%E5%A0%80%E3%81%AE%E5%86%85%EF%BC%92%E4%B8%81%E7%9B%AE%EF%BC%91%EF%BC%93%E7%95%AA%E5%9C%B0,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県小牧市堀の内２丁目１３番地</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県小牧市堀の内２丁目１３番地</converted>
<candidate>
<address>愛知県/小牧市/堀の内/二丁目/１３番地</address>
<longitude>136.906754</longitude>
<latitude>35.291744</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",35.291744,136.906754, 愛知県小牧市堀の内２丁目１３番地,豚骨ラーメン
麺屋　壱正　岐阜店,https://www.cookdoor.jp/dtl/75000000000000048778/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/8/7/7/75000000000000048778/0000005745/75000000000000048778_0000005745_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/8/7/7/75000000000000048778/0000005745/75000000000000048778_0000005745_3_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/8/7/7/75000000000000048778/0000005745/75000000000000048778_0000005745_8_s.jpg,〒502-0934 岐阜県岐阜市大福町６丁目５５－１,東海北陸自動車道「岐阜各務原IC」から「麺屋　壱正　岐阜店」まで 8.8km,70件,,"めちゃくちゃおいしかったこのお店。
北海道味噌？信州味噌？九州麦味噌から選べるラーメン。全部味噌ラーメンなんだけど、甘さや濃くが違うから自分好みのラーメンを選べるのがとてもいい。…",192枚,18本,,700円〜1500円,,,,,麺屋　壱正　岐阜店,"平・土・祝：11：00〜23：30まで
（ラストオーダー 23：00）
日曜日：11：00〜22：30まで
（ラストオーダー 22：00）",http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E5%B2%90%E9%98%9C%E7%9C%8C%E5%B2%90%E9%98%9C%E5%B8%82%E5%A4%A7%E7%A6%8F%E7%94%BA%EF%BC%96%E4%B8%81%E7%9B%AE%EF%BC%95%EF%BC%95%EF%BC%8D%EF%BC%91,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 岐阜県岐阜市大福町６丁目５５−１</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 岐阜県岐阜市大福町６丁目５５−</converted>
<candidate>
<address>岐阜県/岐阜市/大福町/六丁目/５５番地</address>
<longitude>136.736679</longitude>
<latitude>35.437199</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",35.437199,136.736679, 岐阜県岐阜市大福町６丁目５５－１,味噌ラーメン
万楽,https://www.cookdoor.jp/dtl/60000000000000000641/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/1/4/6/60000000000000000641/0000076022/60000000000000000641_0000076022_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/1/4/6/60000000000000000641/0000064577/60000000000000000641_0000064577_2_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/1/4/6/60000000000000000641/0000000562/60000000000000000641_0000000562_3_s.jpg,〒451-0013 愛知県名古屋市西区江向町3-73,名古屋市営地下鉄鶴舞線「庄内通駅」から「万楽」まで 徒歩7分,109件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e5%ba%84%e5%86%85%e9%80%9a%e9%a7%85+%e3%80%92451-0016&destination=35.2079517994299,136.89582909298&travelmode=walking","万楽は名古屋市西区にある有名な中華そばのお店になります。
メニューはラーメンと担々麺の2種類です。両方にそれぞれ長年のファンがおり、私はラーメンが好みです。全席カウンター席で、回転率も良いので並んでいても意外と早く着席できます。…",187枚,19本,名古屋高速6号清須線「庄内通出入口（IC）」から「万楽」まで 990m,"夜　〜￥999
昼　〜￥999",,,,,万楽,11:00〜24：00,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E8%A5%BF%E5%8C%BA%E6%B1%9F%E5%90%91%E7%94%BA3-73,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県名古屋市西区江向町3-73</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県名古屋市西区江向町3-73</converted>
<candidate>
<address>愛知県/名古屋市/西区/江向町/三丁目/７３番地</address>
<longitude>136.896286</longitude>
<latitude>35.207756</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",35.207756,136.896286, 愛知県名古屋市西区江向町3-73,不明
博多ラーメン琥家奥田店,https://www.cookdoor.jp/dtl/1060558769/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/9/6/7/1060558769/0000062753/1060558769_0000062753_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/9/6/7/1060558769/0000070101/1060558769_0000070101_3_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/9/6/7/1060558769/0000002313/1060558769_0000002313_2_s.jpg,〒700-0934 岡山県岡山市北区奥田南町３５５－５,岡山電気軌道清輝橋線「清輝橋駅」から「博多ラーメン琥家奥田店」まで 徒歩14分,97件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e6%b8%85%e8%bc%9d%e6%a9%8b%e9%a7%85+%e3%80%92700-0861&destination=34.6414888262606,133.924809695001&travelmode=walking",国道３０号線の岡南小学校交差点の所にあります。店内はテーブル席とカウンター席があり明るい雰囲気のお店です。博多ラーメンですがあっさりした豚骨スープに細めの麺が良く合っていてとても美味しいです。…,177枚,29本,山陽自動車道「岡山IC」から「博多ラーメン琥家奥田店」まで 7.2km,"1,500円",,,,,博多ラーメン琥家奥田店,11：00〜0：45,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E5%B2%A1%E5%B1%B1%E7%9C%8C%E5%B2%A1%E5%B1%B1%E5%B8%82%E5%8C%97%E5%8C%BA%E5%A5%A5%E7%94%B0%E5%8D%97%E7%94%BA%EF%BC%93%EF%BC%95%EF%BC%95%EF%BC%8D%EF%BC%95,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 岡山県岡山市北区奥田南町３５５−５</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 岡山県岡山市北区奥田南町</converted>
<candidate>
<address>岡山県/岡山市/北区/奥田南町</address>
<longitude>133.921844</longitude>
<latitude>34.641663</latitude>
<iLvl>5</iLvl>
</candidate>
</results>
",34.641663,133.921844, 岡山県岡山市北区奥田南町３５５－５,豚骨ラーメン
